"iditem";"nombre";"saldo";"compromiso";"costo";"precio";"impuesto";"activo";"categoria";"estado";"idempresa";"casa"
"2305";"sedal  crema peinar rizos x 12";"9131";"478";"6800";"10100";"1";"1";"126";"unilever";"3";"78"
"2306";"konzil shampo todo tipo x18";"9954";"139";"11500";"14500";"1";"1";"121";"schwarzkopf";"3";"73"
"2307";"konzil acondicionador todo tipo x18";"9973";"92";"11500";"14500";"1";"1";"121";"schwarzkopf";"3";"73"
"2308";"konzil crema de peinar todo tipo x18";"9975";"93";"11500";"14500";"1";"1";"121";"schwarzkopf";"3";"73"
"2309";"konzil shampo oleo coco x18";"10000";"0";"11500";"14500";"1";"0";"121";"schwarzkopf";"3";"73"
"2310";"konzil crema de peinar rizos x18";"9958";"117";"11500";"14500";"1";"1";"121";"schwarzkopf";"3";"73"
"2311";"savital sh colageno x20";"9960";"181";"10500";"16900";"1";"0";"126";"unilever";"3";"78"
"2312";"savital sh multivitaminas x20";"9716";"410";"14000";"20200";"1";"1";"126";"unilever";"3";"78"
"2313";"lavaloza liquido limpiaya 500ml";"6612";"2159";"2378";"3000";"1";"1";"98";"eterna ";"3";"50"
"2314";"lavaloza crema limpiaya 450ml";"8619";"697";"2475";"3200";"1";"1";"98";"eterna ";"3";"50"
"2315";"lavaloza liquido limpiaya 500ml 12x13";"9982";"11";"28500";"36000";"1";"1";"98";"eterna ";"3";"50"
