"id";"iddetalles";"accesorio";"cantidad";"ubicacion";"fecha_reg";"estado";"imagen"
"207";"2058";"TAPA PLASTICA CON HUECO";"1";"017A03";"2024-07-17 09:22:15";"1";"0"
"208";"2058";"TAPA PLASTICA CIEGA";"1";"017A03";"2024-07-17 09:22:27";"1";"0"
"209";"2058";"CLIP ALUMINIO";"2";"017A03";"2024-07-17 09:22:38";"1";"0"
"210";"2073";"TAPA PLASTICA CON HUECO";"1";"81H";"2024-07-17 09:24:07";"1";"0"
"211";"2073";"TAPA PLASTICA CIEGA";"1";"81H";"2024-07-17 09:24:17";"1";"0"
"212";"2073";"CLIP ALUMINIO";"2";"81H";"2024-07-17 09:24:27";"1";"0"
"213";"28067";"TAPA PLASTICA CON HUECO";"1";"017A05";"2024-07-17 09:25:20";"1";"0"
"214";"28067";"TAPA PLASTICA CIEGA";"1";"017A05";"2024-07-17 09:25:31";"1";"0"
"215";"28067";"CLIP ALUMINIO";"2";"017A05";"2024-07-17 09:25:45";"1";"0"
"216";"27295";"TAPA PLASTICA CIEGA";"2";"81A";"2024-07-17 09:26:40";"0";"0"
"217";"2054";"TAPA PLASTICA CON HUECO";"1";"017A06";"2024-07-17 09:27:33";"1";"0"
"218";"2054";"TAPA PLASTICA CIEGA";"1";"017A06";"2024-07-17 09:27:45";"1";"0"
"219";"2054";"CLIP ALUMINIO";"2";"017A06";"2024-07-17 09:27:56";"1";"0"
"220";"18898";"TAPA PLASTICA CON HUECO";"2";"017A04";"2024-07-17 09:28:42";"1";"0"
"221";"18898";"TAPA PLASTICA CIEGA";"1";"81D";"2024-07-17 09:28:59";"0";"0"
"222";"18898";"CLIP ALUMINIO";"2";"81D";"2024-07-17 09:29:11";"0";"0"
"223";"18905";"TAPA PLASTICA CON HUECO";"1";"017A04";"2024-07-17 09:32:07";"1";"0"
"224";"18905";"TAPA PLASTICA CIEGA";"1";"017A04";"2024-07-17 09:32:17";"1";"0"
"225";"18905";"CLIP ALUMINIO";"2";"017A04";"2024-07-17 09:32:27";"1";"0"
"226";"2024";"TAPA PLASTICA CON HUECO";"1";"81G";"2024-07-17 09:41:36";"1";"0"
"227";"2024";"TAPA PLASTICA CIEGA";"1";"81G";"2024-07-17 09:41:46";"1";"0"
"228";"2024";"TAPON SILICONA";"2";"81G";"2024-07-17 09:42:08";"1";"0"
"229";"2056";"TAPA PLASTICA CON HUECO";"1";"017A06";"2024-07-17 09:45:36";"1";"0"
"230";"2056";"TAPA PLASTICA CIEGA";"1";"017A06";"2024-07-17 09:45:56";"1";"0"
"231";"2056";"CLIP ALUMINIO";"2";"017A06";"2024-07-17 09:46:09";"1";"0"
"232";"24254";"TAPA PLASTICA CON HUECO";"1";"017A10";"2024-07-17 09:47:10";"1";"0"
"233";"24254";"TAPA PLASTICA CIEGA";"1";"017A10";"2024-07-17 09:47:22";"1";"0"
"234";"18896";"TAPA PLASTICA CON HUECO";"1";"017A02";"2024-07-17 09:51:52";"1";"0"
"235";"18896";"TAPA PLASTICA CIEGA";"1";"017A02";"2024-07-17 09:52:05";"1";"0"
"236";"2091";"TAPA PLASTICA CON HUECO";"2";"017A14";"2024-07-17 09:53:02";"1";"0"
"237";"2091";"CLIP ALUMINIO";"2";"017A14";"2024-07-17 09:53:14";"1";"0"
"238";"1977";"TAPA PLASTICA CON HUECO";"2";"017A14";"2024-07-17 09:56:52";"1";"0"
"239";"1977";"CLIP ALUMINIO";"2";"017A14";"2024-07-17 09:57:21";"1";"0"
"240";"24225";"TAPA PLASTICA CON HUECO";"2";"017A14";"2024-07-17 09:58:04";"1";"0"
"241";"24225";"CLIP ALUMINIO";"2";"017A14";"2024-07-17 09:58:16";"1";"0"
"242";"22773";"TAPA PLASTICA CON HUECO";"1";"017A14";"2024-07-17 09:58:58";"1";"0"
"243";"22773";"TAPA PLASTICA CIEGA";"1";"017A14";"2024-07-17 09:59:10";"1";"0"
"244";"22773";"CLIP ALUMINIO";"2";"017A14";"2024-07-17 09:59:22";"1";"0"
"245";"20731";"TAPA PLASTICA IZQUIERDA";"1";"017A11";"2024-07-17 10:09:30";"1";"0"
"246";"20731";"TAPA PLASTICA DERECHA";"1";"017A11";"2024-07-17 10:10:22";"1";"0"
"247";"20725";"TAPA PLASTICA IZQUIERDA";"1";"017A07";"2024-07-17 10:11:36";"1";"0"
"248";"20725";"TAPA PLASTICA DERECHA";"1";"017A07";"2024-07-17 10:11:55";"1";"0"
"249";"20728";"TAPA PLASTICA DERECHA";"1";"017A07";"2024-07-17 10:12:53";"1";"0"
